Country code,Product name,Product code 1,Product code 2,Unit
WA,"Secondary lead for treatment, Re-processing of secondary lead into new lead",p27.43.w,C_LZTW,tonnes
WA,Copper products,p27.44,C_COPP,tonnes
WA,"Secondary copper for treatment, Re-processing of secondary copper into new copper",p27.44.w,C_COPW,tonnes
WA,Other non-ferrous metal products,p27.45,C_ONFM,tonnes
WA,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",p27.45.w,C_ONFW,tonnes
WA,Foundry work services,p27.5,C_METC,tonnes
WA,"Fabricated metal products, except machinery and equipment (28)",p28,C_FABM,tonnes
WA,Machinery and equipment n.e.c. (29),p29,C_MACH,tonnes
WA,Office machinery and computers (30),p30,C_OFMA,tonnes
WA,Electrical machinery and apparatus n.e.c. (31),p31,C_ELMA,tonnes
WA,"Radio, television and communication equipment and apparatus (32)",p32,C_RATV,tonnes
WA,"Medical, precision and optical instruments, watches and clocks (33)",p33,C_MEIN,tonnes
WA,"Motor vehicles, trailers and semi-trailers (34)",p34,C_MOTO,Meuro
WA,Other transport equipment (35),p35,C_OTRE,Meuro
WA,Furniture; other manufactured goods n.e.c. (36),p36,C_FURN,tonnes
WA,Secondary raw materials,p37,C_RYMS,Meuro
WA,"Bottles for treatment, Recycling of bottles by direct reuse",p37.w.1,C_BOTW,tonnes
WA,Electricity by coal,p40.11.a,C_POWC,TJ
WA,Electricity by gas,p40.11.b,C_POWG,TJ
WA,Electricity by nuclear,p40.11.c,C_POWN,TJ
WA,Electricity by hydro,p40.11.d,C_POWH,TJ
WA,Electricity by wind,p40.11.e,C_POWW,TJ
WA,Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP,TJ
WA,Electricity by biomass and waste,p40.11.g,C_POWB,TJ
WA,Electricity by solar photovoltaic,p40.11.h,C_POWS,TJ
WA,Electricity by solar thermal,p40.11.i,C_POWE,TJ
WA,"Electricity by tide, wave, ocean",p40.11.j,C_POWO,TJ
WA,Electricity by Geothermal,p40.11.k,C_POWM,TJ
WA,Electricity nec,p40.11.l,C_POWZ,TJ
WA,Transmission services of electricity,p40.12,C_POWT,Meuro
WA,Distribution and trade services of electricity,p40.13,C_POWD,Meuro
WA,Biogas an other gases nec.,p40.2.1,C_BGAS,tonnes
WA,Distribution services of gaseous fuels through mains,p40.2.2,C_GASD,Meuro
WA,Steam and hot water supply services,p40.3,C_HWAT,TJ
WA,"Collected and purified water, distribution services of water (41)",p41,C_WATR,Meuro
WA,Construction work (45),p45,C_CONS,Meuro
WA,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",p45.w,C_CONW,tonnes
WA,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",p50.a,C_TDMO,Meuro
WA,Retail trade services of motor fuel,p50.b,C_TDFU,Meuro
WA,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",p51,C_TDWH,Meuro
WA,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52,C_TDRT,Meuro
WA,Hotel and restaurant services (55),p55,C_HORE,Meuro
WA,Railway transportation services,p60.1,C_TRAI,Meuro
WA,Other land transportation services,p60.2,C_TLND,Meuro
WA,Transportation services via pipelines,p60.3,C_TPIP,Meuro
WA,Sea and coastal water transportation services,p61.1,C_TWAS,Meuro
WA,Inland water transportation services,p61.2,C_TWAI,Meuro
WA,Air transport services (62),p62,C_TAIR,Meuro
WA,Supporting and auxiliary transport services; travel agency services (63),p63,C_TAUX,Meuro
WA,Post and telecommunication services (64),p64,C_PTEL,Meuro
WA,"Financial intermediation services, except insurance and pension funding services (65)",p65,C_FINT,Meuro
WA,"Insurance and pension funding services, except compulsory social security services (66)",p66,C_FINS,Meuro
WA,Services auxiliary to financial intermediation (67),p67,C_FAUX,Meuro
WA,Real estate services (70),p70,C_REAL,Meuro
WA,Renting services of machinery and equipment without operator and of personal and household goods (71),p71,C_MARE,Meuro
WA,Computer and related services (72),p72,C_COMP,Meuro
WA,Research and development services (73),p73,C_RESD,Meuro
WA,Other business services (74),p74,C_OBUS,Meuro
WA,Public administration and defence services; compulsory social security services (75),p75,C_PADF,Meuro
WA,Education services (80),p80,C_EDUC,Meuro
WA,Health and social work services (85),p85,C_HEAL,Meuro
WA,Food waste for treatment: incineration,p90.1.a,C_INCF,tonnes
WA,Paper waste for treatment: incineration,p90.1.b,C_INCP,tonnes
WA,Plastic waste for treatment: incineration,p90.1.c,C_INCL,tonnes
WA,Intert/metal waste for treatment: incineration,p90.1.d,C_INCM,tonnes
WA,Textiles waste for treatment: incineration,p90.1.e,C_INCT,tonnes
WA,Wood waste for treatment: incineration,p90.1.f,C_INCW,tonnes
WA,Oil/hazardous waste for treatment: incineration,p90.1.g,C_INCO,tonnes
WA,Food waste for treatment: biogasification and land application,p90.2.a,C_BIOF,tonnes
WA,Paper waste for treatment: biogasification and land application,p90.2.b,C_BIOP,tonnes
WA,Sewage sludge for treatment: biogasification and land application,p90.2.c,C_BIOS,tonnes
WA,Food waste for treatment: composting and land application,p90.3.a,C_COMF,tonnes
WA,Paper and wood waste for treatment: composting and land application,p90.3.b,C_COMW,tonnes
WA,Food waste for treatment: waste water treatment,p90.4.a,C_WASF,tonnes
WA,Other waste for treatment: waste water treatment,p90.4.b,C_WASO,tonnes
WA,Food waste for treatment: landfill,p90.5.a,C_LANF,tonnes
WA,Paper for treatment: landfill,p90.5.b,C_LANP,tonnes
WA,Plastic waste for treatment: landfill,p90.5.c,C_LANL,tonnes
WA,Inert/metal/hazardous waste for treatment: landfill,p90.5.d,C_LANI,tonnes
WA,Textiles waste for treatment: landfill,p90.5.e,C_LANT,tonnes
WA,Wood waste for treatment: landfill,p90.5.f,C_LANW,tonnes
WA,Membership organisation services n.e.c. (91),p91,C_ORGA,Meuro
WA,"Recreational, cultural and sporting services (92)",p92,C_RECR,Meuro
WA,Other services (93),p93,C_OSER,Meuro
WA,Private households with employed persons (95),p95,C_PRHH,Meuro
WA,Extra-territorial organizations and bodies,p99,C_EXTO,Meuro
WL,Paddy rice,p01.a,C_PARI,tonnes
WL,Wheat,p01.b,C_WHEA,tonnes
WL,Cereal grains nec,p01.c,C_OCER,tonnes
WL,"Vegetables, fruit, nuts",p01.d,C_FVEG,tonnes
